daerah;X1;X2;X3;X4;X5
1;59.28;48.57;58.71;16.18;72031
2;52.09;70.95;79.54;11.53;113687
3;50.3;58.72;51.5;13.1;90307
4;50.59;71.65;66.65;8.75;148166
5;46.39;61.63;68.39;10.22;131257
6;49.59;67.84;66.82;12.77;191419
7;52.15;61.23;81.21;11.07;323172
8;34.38;46.09;67.41;11.75;128492
9;42.26;47.06;72.95;11.28;327319
10;50.97;58.07;72.12;9.29;226562
11;50.75;20.11;56.45;14.76;98101
12;59.68;43.29;46.43;13.15;9328
13;53.39;31.38;65.44;20.44;134376
14;52.81;48.98;59.63;10.86;202477
15;53.85;89.07;91.61;6.4;310006
16;56;78.29;76.55;10.56;134473
17;46.81;76.56;76.29;10.8;163674
18;52.08;69.82;77.73;13.14;152758
19;57.02;72.97;74.54;12.04;83019
20;59.6;80.57;89.75;11.8;82738
21;46.52;59.68;79.83;14.88;108609
22;54.19;56.73;77.82;15.48;151714
23;42;66.29;76.72;16.64;133926
24;65.08;82.32;79.58;15.68;132565
25;64.89;90.79;89.23;13.41;146386
26;36.26;35.27;61.8;22.38;172954
27;60.61;45.17;72.27;25.8;126239
28;54.47;46.37;90.1;17.74;107883
29;33.93;29.87;68.63;20.49;103999
30;39.16;91.69;53.45;7.95;69057
31;48.97;94.57;62.19;7.15;3952
32;45.74;83.82;88.48;4.8;1617
33;56.17;71.27;84.19;8.37;39839
34;59.42;67.64;84.21;7.34;39527
35;57.34;84.69;81.32;6.42;33887
36;54.72;97.75;90.1;4.86;39492
37;49.25;92.42;98.74;5.79;486042
38;55.65;93.55;98.86;4.59;31133
