wilayah;target
1;70.75
2;71.88
3;72.51
4;72.88
5;72.50
6;72.04
7;71.78
8;69.07
9;67.80
10;69.93
11;65.43
12;68.08
13;65.75
14;69.83
15;73.43
16;71.76
17;71.37
18;70.87
19;69.76
20;71.91
21;71.33
22;70.11
23;70.25
24;71.47
25;72.20
26;69.62
27;67.48
28;66.56
29;70.02
30;73.52
31;72.70
32;72.30
33;69.52
34;70.54
35;72.39
36;72.41
37;73.85
38;72.06
