wilayah;target
1;71.05
2;72.08
3;72.91
4;73.28
5;72.80
6;72.14
7;71.98
8;69.27
9;68.20
10;70.03
11;65.73
12;68.28
13;66.15
14;69.83
15;73.63
16;71.96
17;71.67
18;70.97
19;70.36
20;72.01
21;71.53
22;70.51
23;70.55
24;71.67
25;72.30
26;69.72
27;67.58
28;66.86
29;70.42
30;73.62
31;73.00
32;72.60
33;69.72
34;70.84
35;72.69
36;72.41
37;73.85
38;72.16
;
