wilayah;target
1;0.78
2;0.80
3;0.81
4;0.81
5;0.81
6;0.80
7;0.80
8;0.75
9;0.74
10;0.77
11;0.70
12;0.74
13;0.70
14;0.77
15;0.82
16;0.80
17;0.79
18;0.78
19;0.77
20;0.80
21;0.79
22;0.77
23;0.77
24;0.79
25;0.80
26;0.76
27;0.73
28;0.72
29;0.77
30;0.82
31;0.81
32;0.80
33;0.76
34;0.78
35;0.81
36;0.81
37;0.83
38;0.80
;
