daerah;X1;X2;X3;X4;X5
1;58.94;52.71;65.9;15.49;71453
2;60.14;75.26;86.31;11.75;113429
3;57.45;63.25;55.39;13.24;90136
4;59.07;76.76;67.67;8.23;151017
5;57.72;71.52;79.15;9.88;131765
6;53.17;78.92;65.48;12.72;193286
7;61.95;56.9;65.98;11.49;327148
8;56.96;53.86;72.52;11.22;127428
9;42;52.03;66.86;10.97;33114
10;55.84;69.59;65.45;8.79;228021
11;61.98;29.1;62.76;15;9735
12;55.11;37;62.6;13.34;93099
13;58.85;35.09;64.24;20.98;135231
14;56.53;58.87;66.65;10.57;204507
15;58.32;91.51;92.99;6.39;313272
16;70.16;84.42;66.68;10.61;135829
17;61.25;81.37;73.92;10.7;166553
18;50.81;68.12;73.72;12.25;153869
19;58.08;82.38;85.7;12.69;82488
20;46.81;82.71;93.78;11.03;81995
21;53.23;59.63;77.15;15.27;109594
22;61.51;68.66;81.75;14.6;152912
23;60.29;66.94;82.29;17.14;13362
24;69.19;83.53;78.39;14.89;132423
25;54.09;96.18;84.41;13.19;150267
26;48.46;35.51;72.36;21.41;168849
27;51.21;54.29;80.82;24.11;127112
28;52.29;31.49;80.45;16.7;107182
29;48.34;36.81;76.69;20.09;103946
30;46.96;93.82;65.94;8.4;70605
31;62.2;89.38;62.12;7.18;39931
32;48.6;78.24;88.76;4.33;164577
33;67.93;79;78.9;7.97;40627
34;53.48;72.18;84.66;7.62;39993
35;57.5;90.42;81.22;5.73;33924
36;54.06;97.36;92.46;5.16;39037
37;55.41;86.5;97.88;5.63;488665
38;59.39;83.86;87.99;4.48;32599
