wilayah;target
1;71.31
2;72.27
3;73.15
4;73.53
5;72.99
6;72.25
7;72.12
8;69.5
9;68.54
10;70.19
11;66.04
12;68.53
13;66.47
14;69.9
15;73.71
16;72.1
17;71.87
18;71.11
19;70.77
20;72.16
21;71.74
22;70.83
23;70.8
24;71.87
25;72.36
26;69.82
27;67.67
28;67.05
29;70.71
30;73.69
31;73.17
32;72.77
33;69.86
34;71.02
35;72.86
36;72.48
37;73.88
38;72.25
;
