wilayah;target
1;71.52
2;72.43
3;73.35
4;73.74
5;73.16
6;72.37
7;72.26
8;69.7
9;68.74
10;70.34
11;66.27
12;68.73
13;66.71
14;70.01
15;73.82
16;72.24
17;72.04
18;71.25
19;70.97
20;72.3
21;71.92
22;71.07
23;71.01
24;72.04
25;72.46
26;69.94
27;67.79
28;67.22
29;70.94
30;73.8
31;73.36
32;72.93
33;70
34;71.18
35;73.01
36;72.59
37;73.98
38;72.37
;
