daerah;X1;X2;X3;X4;X5
1;59.34;48.54;60.53;16.68;72072
2;60.98;63.76;75.36;11.91;114179
3;59.84;60.59;51.09;13.39;90456
4;52.3;74.01;74.87;8.57;150401
5;61.48;59.6;74.4;9.97;131806
6;54.08;68.1;68.63;12.91;193316
7;60.48;56.06;75.41;11.53;32709
8;49.66;48.94;64.89;11.52;128638
9;55.37;45.55;68.96;11.22;328443
10;55.92;66.81;70.43;9.17;228326
11;61.22;19.94;63.44;14.96;98322
12;61.73;38.47;54.94;13.63;93444
13;57.44;29.9;66.96;20.82;135691
14;67.22;46.25;67.46;10.72;203655
15;66.7;88.85;94.19;6.44;31317
16;58.33;77.46;74.99;10.57;135874
17;60.33;79.07;77.41;10.79;166559
18;56.03;72.66;72.94;12.69;153426
19;64.71;68.2;83.64;12.54;82977
20;58.09;80.29;95.11;11.35;82452
21;53.27;64.92;80.65;15.61;110122
22;52.77;68.47;80.85;15.71;152393
23;57.74;60.22;83.03;17.08;133571
24;62.96;85.74;81.03;15.38;133146
25;67.23;90.67;90.38;13.63;148989
26;46.37;36.61;63.69;22.57;172046
27;62.07;49.26;79.08;25.69;128052
28;48.05;34.22;79.72;17.41;10824
29;49.54;29.75;75.26;20.2;104694
30;49.93;89.79;56.48;8.51;70266
31;57.05;95.62;64.24;7.29;39848
32;51.28;79.26;89.75;4.6;163841
33;66.83;81.37;83.96;8.17;40376
34;61.73;78.81;88.49;7.47;40178
35;58.95;87.56;77.73;6.16;3431
36;47.02;96.11;95.13;4.89;39576
37;57.85;90.61;97.21;5.82;489165
38;53.85;81.93;85.36;4.71;32151
