wilayah;target
1;71.18
2;72.18
3;73.03
4;73.40
5;72.89
6;72.20
7;72.05
8;69.38
9;68.37
10;70.11
11;65.89
12;68.41
13;66.31
14;69.86
15;73.67
16;72.03
17;71.77
18;71.04
19;70.55
20;72.09
21;71.63
22;70.67
23;70.67
24;71.77
25;72.33
26;69.77
27;67.62
28;66.95
29;70.56
30;73.65
31;73.09
32;72.68
33;69.79
34;70.93
35;72.78
36;72.44
37;73.87
38;72.20
;
