Tahun;Wilayah;X1;X2;X3;X4;X5;T;;;
2015;20;58.09;80.29;95.11;11.35;82452;0.796059113;;;
2016;20;46.81;82.71;93.78;11.03;81995;0.79924812;;;
2017;20;48.07;82.17;80.69;10.48;81221;0.80255102;;;
2018;20;53.27;82.46;85.67;10.31;80095;0.803891051;;;
2014;21;46.52;59.68;79.83;14.88;108609;0.73064133;;;
2015;21;53.27;64.92;80.65;15.61;110122;0.742857143;;;
2016;21;53.23;59.63;77.15;15.27;109594;0.747368421;;;
2017;21;39.73;74.13;82.24;14.91;107007;0.754336735;;;
2018;21;40.47;56.69;79.36;14.83;106211;0.759533074;;;
2014;22;54.19;56.73;77.82;15.48;151714;0.60023753;;;
2015;22;52.77;68.47;80.85;15.71;152393;0.629802956;;;
2016;22;61.51;68.66;81.75;14.6;152912;0.639097744;;;
2017;22;39.34;76.2;94.02;14.34;151789;0.649872449;;;
2018;22;51.9;79.28;78.91;13.16;150697;0.660311284;;;
2014;23;42;66.29;76.72;16.64;133926;0.6152019;;;
2015;23;57.74;60.22;83.03;17.08;133571;0.634236453;;;
2016;23;60.29;66.94;82.29;17.14;13362;0.639097744;;;
2017;23;43.09;64.45;86.36;16.87;133655;0.646428571;;;
2018;23;48.57;74.74;81.98;15.31;133092;0.653307393;;;
2014;24;65.08;82.32;79.58;15.68;132565;0.745605701;;;
2015;24;62.96;85.74;81.03;15.38;133146;0.758374384;;;
2016;24;69.19;83.53;78.39;14.89;132423;0.763157895;;;
2017;24;53.98;81.48;81.22;14.42;130877;0.769260204;;;
2018;24;56.71;93.66;75.52;13.8;130352;0.773540856;;;
2014;25;64.89;90.79;89.23;13.41;146386;0.823634204;;;
2015;25;67.23;90.67;90.38;13.63;148989;0.82820197;;;
2016;25;54.09;96.18;84.41;13.19;150267;0.826315789;;;
2017;25;50.94;93.97;86.14;12.8;150356;0.825510204;;;
2018;25;58.4;94.41;88.42;11.89;14977;0.822568093;;;
2014;26;36.26;35.27;61.8;22.38;172954;0.547862233;;;
2015;26;46.37;36.61;63.69;22.57;172046;0.542241379;;;
2016;26;48.46;35.51;72.36;21.41;168849;0.537593985;;;
2017;26;45.07;37.26;79.04;21.32;166049;0.533928571;;;
2018;26;49.37;40.34;60.54;19.59;166842;0.528404669;;;
2014;27;60.61;45.17;72.27;25.8;126239;0.31912114;;;
2015;27;62.07;49.26;79.08;25.69;128052;0.305049261;;;
2016;27;51.21;54.29;80.82;24.11;127112;0.295112782;;;
2017;27;47.2;55.77;85.17;23.56;123832;0.287117347;;;
2018;27;56.73;67.88;81.16;21.21;122857;0.277431907;;;
2014;28;54.47;46.37;90.1;17.74;107883;0.220783848;;;
2015;28;48.05;34.22;79.72;17.41;10824;0.225246305;;;
2016;28;52.29;31.49;80.45;16.7;107182;0.219548872;;;
2017;28;37.53;19.71;88.09;16;105049;0.215943878;;;
2018;28;39.26;16.64;71.13;14.47;103727;0.210894942;;;
2014;29;33.93;29.87;68.63;20.49;103999;0.590617577;;;
2015;29;49.54;29.75;75.26;20.2;104694;0.619827586;;;
2016;29;48.34;36.81;76.69;20.09;103946;0.626691729;;;
2017;29;34.49;16.34;74.33;19.62;101979;0.636096939;;;
2018;29;40.72;17.68;79.79;20.16;100098;0.645136187;;;
2014;30;39.16;91.69;53.45;7.95;69057;0.964726841;;;
2015;30;49.93;89.79;56.48;8.51;70266;0.974507389;;;
2016;30;46.96;93.82;65.94;8.4;70605;0.97518797;;;
2017;30;49.82;89.54;95.22;8.49;70445;0.978188776;;;
2018;30;39.95;93.96;68.78;7.68;69663;0.978988327;;;
2014;31;48.97;94.57;62.19;7.15;3952;0.877078385;;;
2015;31;57.05;95.62;64.24;7.29;39848;0.905788177;;;
2016;31;62.2;89.38;62.12;7.18;39931;0.912030075;;;
2017;31;54.75;94.28;80.43;8.03;39706;0.918494898;;;
2018;31;53.42;94.4;72.39;7.44;39426;0.927626459;;;
2014;32;45.74;83.82;88.48;4.8;1617;0.83432304;;;
2015;32;51.28;79.26;89.75;4.6;163841;0.861453202;;;
2016;32;48.6;78.24;88.76;4.33;164577;0.865789474;;;
2017;32;40.49;83.2;94.16;4.17;163864;0.872576531;;;
2018;32;38.24;84.86;84.72;4.1;163641;0.877431907;;;
2014;33;56.17;71.27;84.19;8.37;39839;0.537173397;;;
2015;33;66.83;81.37;83.96;8.17;40376;0.542241379;;;
2016;33;67.93;79;78.9;7.97;40627;0.539849624;;;
2017;33;45.93;83.88;99.76;7.84;40963;0.538520408;;;
2018;33;58.1;83.49;83.18;7.2;40854;0.53540856;;;
2014;34;59.42;67.64;84.21;7.34;39527;0.646199525;;;
2015;34;61.73;78.81;88.49;7.47;40178;0.66637931;;;
2016;34;53.48;72.18;84.66;7.62;39993;0.668421053;;;
2017;34;57.01;76.58;98.37;7.53;39826;0.671683673;;;
2018;34;54.1;83.04;89.11;6.77;39733;0.673151751;;;
2014;35;57.34;84.69;81.32;6.42;33887;0.843942993;;;
2015;35;58.95;9;77.73;6.16;3431;0.871428571;;175.11;87.555
2016;35;57.5;90.42;81.22;5.73;33924;0.877067669;;;
2017;35;48.33;93.35;98.05;5.73;33421;0.882908163;;;
2018;35;61.78;93.36;80.31;5.5;33326;0.886770428;;;
2014;36;54.72;97.75;90.1;4.86;39492;0.84608076;;;
2015;36;47.02;96.11;95.13;4.89;39576;0.840394089;;;
2016;36;54.06;97.36;92.46;5.16;39037;0.838721805;;;
2017;36;43.65;90.81;96.8;4.94;38994;0.839285714;;;
2018;36;41.99;94.51;93.62;4.49;38417;0.837743191;;;
2014;37;49.25;92.42;98.74;5.79;486042;1;;;
2015;37;57.85;90.61;97.21;5.82;489165;1;;;
2016;37;55.41;86.5;97.88;5.63;488665;1;;;
2017;37;44.22;94.69;95.43;5.39;483126;1;;;
2018;37;51.05;87.18;96.29;4.88;479675;1;;;
2014;38;55.65;93.55;98.86;4.59;31133;0.808669834;;;
2015;38;53.85;81.93;85.36;4.71;32151;0.812684729;;;
2016;38;59.39;83.86;87.99;4.48;32599;0.811654135;;;
2017;38;47.64;90.37;32.42;4.31;33002;0.812882653;;;
2018;38;47.57;90.85;88.61;3.89;32594;0.812062257;;;
;;31.56;9;7;3.89;1617;0.1;;;
;;70.16;97.75;99.76;25.8;489165;1;;;
