daerah;X1;X2;X3;X4;X5
1;42.07;51.81;69.49;14.19;70018
2;53.78;65.97;81.09;10.36;109995
3;48.01;70.3;52.59;12.02;88788
4;48.32;78.62;69.93;7.27;150156
5;41.78;63.96;68.08;9.72;128512
6;41.06;77.23;64.94;11.31;191759
7;51.73;56.41;77.84;10.37;319872
8;50.93;61.13;70.12;9.98;124016
9;45.38;52.35;57.42;9.98;336399
10;42.88;68.06;74;7.8;223405
11;41.97;29.39;64.01;14.39;93427
12;47.95;45.83;61.99;11.82;90824
13;45.24;39.76;61.83;18.71;133792
14;52.97;64.67;66;9.45;204311
15;61.2;90.64;91.13;5.69;309551
16;46.59;83.65;73.86;10.08;135777
17;44.22;84.6;71.7;9.56;164477
18;42.97;82.16;71.26;12.11;151893
19;56.49;81.55;81.97;11.42;80191
20;53.27;82.46;85.67;10.31;80095
21;40.47;56.69;79.36;14.83;106211
22;51.9;79.28;78.91;13.16;150697
23;48.57;74.74;81.98;15.31;133092
24;56.71;93.66;75.52;13.8;130352
25;58.4;94.41;88.42;11.89;14977
26;49.37;40.34;60.54;19.59;166842
27;56.73;67.88;81.16;21.21;122857
28;39.26;16.64;71.13;14.47;103727
29;40.72;17.68;79.79;20.16;100098
30;39.95;93.96;68.78;7.68;69663
31;53.42;94.4;72.39;7.44;39426
32;38.24;84.86;84.72;4.1;163641
33;58.1;83.49;83.18;7.2;40854
34;54.1;83.04;89.11;6.77;39733
35;61.78;93.36;80.31;5.5;33326
36;41.99;94.51;93.62;4.49;38417
37;51.05;87.18;96.29;4.88;479675
38;47.57;90.85;88.61;3.89;32594
